ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"67","0.2045866160","114.201","0.028551776870541","0.000","0.006","0.000257","18.881001","0.000000","3.862800","3.071800","0.000","0.628450","6.1466","527232.0740","4752928.0490"
"71","0.7967033440","114.201","0.028920904397964","0.000","0.023","0.000253","0.000000","1.853800","1.475781","0.000000","14.736","11.731000","0.1258","530210.7854","4752881.5780"
"73","5.4470708880","114.201","0.028754881620407","0.000","0.157","0.000252","49.271839","0.000000","268.387200","3.071800","0.000","16.732310","16.0401","527053.6369","4752754.8940"
"75","0.2316254070","114.201","0.028722153176102","0.000","0.007","0.000265","40.894909","0.000000","9.472300","3.071800","0.000","0.711510","13.3130","527897.8498","4752896.1610"
"77","2.3471245070","114.201","0.028565274079641","0.000","0.067","0.000250","9.726114","0.000000","22.828400","3.071800","0.000","7.209900","3.1663","527248.3390","4752827.2400"
"78","1.1095573240","114.201","0.028709397315979","0.000","0.032","0.000253","0.000000","2.852000","3.161986","0.000000","22.670","25.134000","0.1258","527727.6030","4752852.3460"
"79","0.1140088770","114.201","0.028600637445120","0.000","0.003","0.000230","33.811402","0.000000","3.854800","3.071800","0.000","0.350210","11.0071","527041.1065","4752864.9320"
"82","1.6252220350","114.201","0.028726174150194","0.000","0.047","0.000253","59.564415","0.000000","96.805400","3.071800","0.000","4.992360","19.3907","527898.4239","4752834.9310"
"83","1.5485646640","114.201","0.028873891234398","0.000","0.045","0.000254","7.403501","0.000000","11.464800","3.071800","0.000","4.756880","2.4102","530101.2838","4752642.1240"
"87","1.9479845860","114.201","0.028859038054943","0.000","0.056","0.000252","7.682812","0.000000","14.966000","3.071800","0.000","5.983820","2.5011","530169.8908","4752521.7700"
"90","2.9335933180","114.201","0.028749835491180","0.000","0.084","0.000251","9.815607","0.000000","28.795000","3.071800","0.000","9.011410","3.1954","527943.3077","4752686.9520"
"91","0.3490847570","114.201","0.028891913353464","0.000","0.010","0.000251","7.845659","0.000000","2.738800","3.071800","0.000","1.072320","2.5541","530084.5476","4752784.7600"
"95","0.7888679100","114.201","0.028729719320933","0.000","0.023","0.000255","66.157590","0.000000","52.189600","3.071800","0.000","2.423240","21.5371","527853.1206","4752781.2990"
"97","0.2930191260","114.201","0.028712635040283","0.000","0.008","0.000239","0.000000","2.852002","0.835039","0.000000","22.672","6.638000","0.1258","527681.3767","4752798.4810"
"98","1.1332433260","114.201","0.028754732608795","0.000","0.033","0.000255","73.626641","0.000000","83.436900","3.071800","0.000","3.481100","23.9685","528130.7408","4752746.1770"
"100","0.4269388990","114.201","0.028881552219391","0.000","0.012","0.000246","7.975380","0.000000","3.405000","3.071800","0.000","1.311470","2.5963","530045.0015","4752748.6630"
"101","0.2560391290","114.201","0.028881701231003","0.000","0.007","0.000239","7.316850","0.000000","1.873400","3.071800","0.000","0.786500","2.3819","530016.0566","4752756.9850"
"102","1.6291131750","114.201","0.028770631849766","0.000","0.047","0.000253","16.669315","0.000000","27.156200","3.071800","0.000","5.004310","5.4266","527547.1568","4752732.4780"
"104","0.5451108390","114.201","0.028726214525202","0.000","0.016","0.000257","28.235359","0.000000","15.391400","3.071800","0.000","1.674470","9.1918","527653.4758","4752766.3980"
"106","5.1291941660","114.201","0.028608372713390","0.000","0.147","0.000251","8.406818","0.000000","43.120200","3.071800","0.000","15.755860","2.7368","527286.7455","4752666.7530"
"109","0.4527200250","114.201","0.028734982013702","0.000","0.013","0.000251","60.816616","0.000000","27.532900","3.071800","0.000","1.390670","19.7983","527832.1621","4752752.0870"
"110","0.7978163460","114.201","0.028912368615468","0.000","0.023","0.000252","0.000000","1.568600","1.250484","0.000000","12.469","9.940000","0.1258","530496.6522","4752762.2320"
"111","0.2044317660","114.201","0.028911219744316","0.000","0.006","0.000257","2.494720","0.000000","0.510000","3.071800","0.000","0.627970","0.8121","530436.8687","4752754.8490"
"115","0.3722647390","114.201","0.029013000671857","0.000","0.011","0.000259","0.000000","2.424201","0.901742","0.000000","19.270","7.168000","0.1258","530632.3144","4752711.0770"
"117","0.3157528020","114.201","0.028888441324234","0.000","0.009","0.000250","0.000000","1.853798","0.584888","0.000000","14.735","4.649000","0.1258","530475.5855","4752648.4280"
"119","2.1253170220","114.201","0.028736677169800","0.000","0.061","0.000251","68.558619","0.000000","145.708800","3.071800","0.000","6.528550","22.3187","527789.6025","4752689.3970"
"120","4.6695139330","114.201","0.028768900068183","0.000","0.134","0.000251","8.641970","0.000000","40.353800","3.071800","0.000","14.343810","2.8133","528009.7692","4752569.1890"
"122","0.2100916640","114.201","0.028732612969985","0.000","0.006","0.000250","13.377970","0.000000","2.810600","3.071800","0.000","0.645360","4.3551","528183.6442","4752702.8370"
"123","0.2065453470","114.201","0.028737535598222","0.000","0.006","0.000254","0.337940","0.000000","0.069800","3.071800","0.000","0.634470","0.1100","528196.8939","4752691.6940"
"125","1.0133295230","114.201","0.028746613979340","0.000","0.029","0.000251","16.256903","0.000000","16.473600","3.071800","0.000","3.112750","5.2923","528235.3493","4752661.4500"
"128","0.9377946970","114.201","0.028786694407463","0.000","0.027","0.000252","23.040437","0.000000","21.607200","3.071800","0.000","2.880720","7.5006","527613.6352","4752666.3900"
"129","3.5649105290","114.201","0.028652221043905","0.000","0.102","0.000251","8.194988","0.000000","29.214400","3.071800","0.000","10.950690","2.6678","527429.5553","4752584.2610"
"133","2.3148758160","114.201","0.028868771032854","0.000","0.067","0.000253","7.831435","0.000000","18.128800","3.071800","0.000","7.110840","2.5495","530205.1526","4752535.2410"
"134","0.1642064230","114.201","0.028854758994007","0.000","0.005","0.000267","9.825438","0.000000","1.613400","3.071800","0.000","0.504410","3.1986","530077.1671","4752544.2010"
"136","2.9981641580","114.201","0.028737907192924","0.000","0.086","0.000251","45.837950","0.000000","137.429700","3.071800","0.000","9.209760","14.9222","528362.3764","4752599.4980"
"137","0.7751739640","114.201","0.029032475471497","0.000","0.023","0.000260","0.000000","2.424200","1.877720","0.000000","19.270","14.926000","0.1258","530670.6664","4752560.3130"
"140","0.1988036520","114.201","0.028902123448321","0.000","0.006","0.000264","9.771450","0.000000","1.942600","3.071800","0.000","0.610690","3.1810","530392.0360","4752689.9920"
"141","1.4878942040","114.201","0.028880131642024","0.000","0.043","0.000253","7.442868","0.000000","11.074200","3.071800","0.000","4.570510","2.4230","530312.1047","4752553.8240"
"142","0.1194085200","114.201","0.028867008445815","0.000","0.003","0.000220","5.744984","0.000000","0.686000","3.071800","0.000","0.366800","1.8702","529974.4557","4752677.6620"
"143","5.5591293450","114.201","0.028883339425792","0.000","0.161","0.000254","6.440361","0.000000","35.802800","3.071800","0.000","17.076530","2.0966","530459.3301","4752498.4080"
"145","0.1759361500","114.201","0.028901374846484","0.000","0.005","0.000249","0.000000","1.568601","0.275762","0.000000","12.469","2.192000","0.1258","530515.6867","4752671.0540"
"150","2.4284514060","114.201","0.028781514818018","0.000","0.070","0.000252","9.265328","0.000000","22.500400","3.071800","0.000","7.459720","3.0163","527745.4362","4752566.9100"
